,cfc,state,county,0-17,18-25,26-34,35-44,45-54,55-64,65+,age_unknown,no_aptc,yes_aptc,no_csr,yes_csr,american_alaska_native,asian,black,latino,hawaiian_native_pacific_islander,multiracial,white,ethnicity_unknown,fpl_<_100,fpl_<_151,fpl_<_201,fpl_<_251,fpl_<_301,fpl_<_401,fpl_>_400,fpl_unknown,platinum,gold,silver,bronze,catastrophic,new,active_renew,auto_renew,tps,Year
812,28039,MS,George County,0.0,0.0987,0.128,0.1813,0.2427,0.3067,0.0,0.0,0.0587,0.9413,0.3093,0.6907,0.0,0.0,0.0613,0.0,0.0,0.0,0.528,0.3893,0.0,0.4693,0.2133,0.1387,0.0587,0.072,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.624,0.1813,0.1947,375.0,2015
813,28041,MS,Greene County,0.0,0.1286,0.1222,0.1897,0.2219,0.3023,0.0,0.0,0.0386,0.9614,0.254,0.746,0.0,0.0,0.1608,0.0,0.0,0.0,0.4116,0.4148,0.0,0.492,0.2219,0.1061,0.0804,0.0547,0.0,0.0,0.0,0.0,0.8,0.12,0.0,0.7267,0.119,0.1543,311.0,2015
814,28043,MS,Grenada County,0.0214,0.1448,0.1381,0.1743,0.2413,0.2802,0.0,0.0,0.0469,0.9531,0.1743,0.8257,0.0,0.0282,0.3592,0.0,0.0,0.0,0.2024,0.3968,0.0,0.6595,0.1917,0.0402,0.0335,0.0268,0.0,0.0295,0.0,0.0,0.88,0.09,0.0,0.5697,0.193,0.2373,746.0,2015
815,28045,MS,Hancock County,0.0,0.1044,0.1408,0.1629,0.247,0.3013,0.0,0.0,0.0376,0.9624,0.2029,0.7971,0.0,0.0442,0.0477,0.0113,0.0,0.0,0.5125,0.3687,0.0,0.5418,0.2202,0.114,0.0412,0.0436,0.0,0.0197,0.0,0.02,0.86,0.11,0.01,0.5119,0.2405,0.2476,1676.0,2015
816,28047,MS,Harrison County,0.038,0.1199,0.167,0.1848,0.2299,0.2527,0.0,0.0,0.0848,0.9152,0.2858,0.7142,0.0,0.1288,0.155,0.0186,0.0,0.0091,0.3602,0.3275,0.0395,0.5382,0.2147,0.0989,0.0444,0.0307,0.0046,0.0289,0.0,0.03,0.77,0.2,0.0,0.5917,0.131,0.2774,4528.0,2015
817,28049,MS,Hinds County,0.0272,0.1751,0.2108,0.1954,0.1959,0.1909,0.0046,0.0,0.064,0.936,0.2187,0.7813,0.0,0.0222,0.4976,0.0,0.0,0.0037,0.0675,0.4065,0.0199,0.6536,0.1769,0.0705,0.0302,0.0226,0.0041,0.0222,0.06,0.03,0.83,0.07,0.01,0.4349,0.1687,0.3964,20011.0,2015
818,28051,MS,Holmes County,0.0,0.1272,0.1105,0.1542,0.2635,0.329,0.0,0.0,0.0424,0.9576,0.1722,0.8278,0.0,0.0,0.491,0.0,0.0,0.0,0.0,0.4486,0.0,0.662,0.1915,0.0617,0.0257,0.0,0.0,0.0231,0.02,0.0,0.85,0.1,0.0,0.5977,0.1465,0.2558,778.0,2015
819,28057,MS,Itawamba County,0.0,0.136,0.1098,0.1599,0.2196,0.3652,0.0,0.0,0.0286,0.9714,0.253,0.747,0.0,0.0,0.0549,0.0,0.0,0.0,0.5537,0.3652,0.0,0.5346,0.2148,0.1313,0.0525,0.0286,0.0,0.0,0.0,0.0,0.8,0.18,0.0,0.5895,0.1671,0.2434,419.0,2015
820,28059,MS,Jackson County,0.0348,0.1063,0.1742,0.1826,0.225,0.2718,0.0,0.0,0.0807,0.9193,0.2726,0.7274,0.0,0.1115,0.1463,0.0238,0.0,0.0113,0.347,0.3586,0.0287,0.5017,0.2358,0.1028,0.0479,0.045,0.0067,0.0314,0.0,0.03,0.8,0.18,0.0,0.5929,0.1443,0.2628,3444.0,2015
821,28061,MS,Jasper County,0.0,0.1411,0.1411,0.1721,0.2014,0.3098,0.0,0.0,0.0706,0.9294,0.1893,0.8107,0.0,0.0,0.5009,0.0,0.0,0.0,0.1497,0.3425,0.0293,0.6024,0.2117,0.0929,0.0241,0.0,0.0,0.0241,0.0,0.0,0.87,0.12,0.0,0.58,0.1343,0.2857,581.0,2015
